Title,Artist,Path,Emotion1,Emotion2,Uri,Energy, Valence,Tempo
Wasted Love (feat. Lagique),Ofenbach,01 Wasted Love (feat_ Lagique).mp3,Anger,Fear,spotify:track:2pPO9YecZimmuVQfIzfV6U,0.855,0.54,121.955
Waking Up,Heyder,01 Waking Up.mp3,Happy,Sad,spotify:track:5Z86qo8KU7b7IwfQuSI38i,0.708,0.695,123.013
Raining In My Heart,Kid On The Block,01 Raining In My Heart.mp3,Sad,Sad,spotify:track:7smxN4oNGdhOE5RztPuMq6,0.579,0.53,121.921
Stronger (feat. Kesha),Sam Feldt,01 Stronger (feat_ Kesha).mp3,Happy,Sad,spotify:track:4NctFqJyGAqurHFEUQvWgR,0.672,0.435,104.987
We Came for Love,Sonny Del Sol,01 We Came for Love.mp3,Sad,Surprise,spotify:track:1sm2tNPeEzAJ05wnKPOWqz,0.557,0.62,117.048
CHOK3,83HADES,01 CHOK3.mp3,Anger,Fear,spotify:track:7i28e49mz6HlSgXvTZATIf,0.801,0.56,111.014
All Alone,Freddie Dredd,01 All Alone.mp3,Anger,Sad,spotify:track:5V5BHmvpylV0nSc2Yu2Mu4,0.88,0.813,159.933
Cha Cha,Freddie Dredd,01 Cha Cha.mp3,Happy,Surprise,spotify:track:1vvBUZseJ7fwYPX1NedOLd,0.698,0.751,129.971
To Whom It May Concern,Ghostemane,02 To Whom It May Concern.mp3,Sad,Sad,spotify:track:6LsMmm02qu6SOmp9JeaIyC,0.559,0.0354,150.049
Wait and Bleed,Slipknot,04 Wait and Bleed.mp3,Anger,Sad,spotify:track:2gscB6kDOmrv1P6qs2KXE3,0.996,0.327,93.345
Monster,Skillet,02 Monster.mp3,Anger,Sad,spotify:track:2UREu1Y8CO4jXkbvqAtP7g,0.957,0.692,134.992
Stitches,Allele,03 Stitches.mp3,Anger,Fear,spotify:track:6tAUoO4WAzYOEFLDe3YsZX,0.897,0.513,99.977
One Step Closer,Linkin Park,02 One Step Closer.mp3,Anger,Surprise,spotify:track:3K4HG9evC7dg3N0R9cYqk4,0.969,0.538,95.136
When Worlds Collide,Powerman 5000,03 When Worlds Collide.mp3,Anger,Surprise,spotify:track:6aF5JtQSrh7wNrkDE9B0My,0.903,0.581,143.821
Them Bones,Alice In Chains,01 Them Bones.mp3,Anger,Fear,spotify:track:4A065x9kJt955eGVqf813g,0.946,0.309,165.014
Blood Wolf Moon,Tommy Ashby,01 Blood Wolf Moon.mp3,Neutral,Sad,spotify:track:3wihzwWc7SD7plghq6xNxV,0.338,0.318,109.918
Faith Healer,Julien Baker,01 Faith Healer.mp3,Sad,Sad,spotify:track:5M7jnmPrtHgL5H4fTewJch,0.628,0.399,155.757
Making All Things New,Aaron Espe,01 Making All Things New.mp3,Neutral,Sad,spotify:track:59yRjmpE2VtyiEot3Ff9LM,0.355,0.479,99.978
Only Time,Aaron Espe,01 Only Time.mp3,Neutral,Sad,spotify:track:47U42WYf8WrHGqCCPPGV34,0.262,0.361,135.97
Is It Real - Acoustic,Bombay Bicycle Club,04 Is It Real - Acoustic.mp3,Neutral,Sad,spotify:track:0caKRlLbKc3HCRaf041HbU,0.228,0.701,119.798
Into Yellow,Martin Luke Brown,01 Into Yellow.mp3,Sad,Fear,spotify:track:5l7irOWxwQpYVQZsFXnqQV,0.627,0.33,98.044
More,Jess Best,02 More.mp3,Neutral,Sad,spotify:track:7IWmeFL3tBSKxvLFotmWTb,0.408,0.758,97.918
Feel Like Doing Nothing,Kate Bollinger,01 Feel Like Doing Nothing.mp3,Neutral,Sad,spotify:track:1QoLS7UGpNEdzelI1eCSoa,0.442,0.457,119.541
Count On Me,The Lone Bellow,03 Count On Me.mp3,Anger,Fear,spotify:track:5sA7NCo4bHH9stpolSymvz,0.798,0.311,152.058
I Try,Jasmine Thompson,01 I Try.mp3,Neutral,Sad,spotify:track:6atZCdBGa3A5S4PvonN7YV,0.274,0.375,148.212
Reasons,Mimi Webb,01 Reasons.mp3,Sad,Sad,spotify:track:4kPV7Tx30Ph0tQ4XrhgYCh,0.539,0.101,178.24
OK - with Remi Wolf & Solomonophonic,Wallows,01 OK - with Remi Wolf _ Solomonophonic.mp3,Anger,N/A,spotify:track:2LqczHHyVkIN9WlaQyFG1R,0.855,0.8,144.978
Rockin' Robin,Bobby Day,01 Rockin_ Robin.mp3,Sad,Surprise,spotify:track:4FlYcJnfkeBpowEHJ72Bmt,0.608,0.938,171.992
The Way You Do The Things You Do,The Temptations,01 The Way You Do The Things You Do.mp3,Happy,Surprise,spotify:track:3496rr5XSGD6n1Z1OKXovb,0.704,0.741,124.218
Please Never Fall in Love Again,Ollie MN,01 Please Never Fall in Love Again.mp3,Neutral,Sad,spotify:track:42H6GeQfrBkT3vTUTdpB1M,0.0828,0.293,108.826
Ruthless,Yelly,01 Ruthless.mp3,Neutral,Fear,spotify:track:3MW0Sl8ys7tB4aJXeUBBSD,0.389,0.5,130.549
All I Want Is Love That Lasts,Ashley Price,01 All I Want Is Love That Lasts.mp3,Sad,Fear,spotify:track:6pz8ksOVgKuwMT2REEeXbK,0.472,0.212,76.972
Aw Yeah? (Intervention),Tech N9ne,02 Aw Yeah_ (Intervention).mp3,Anger,Surprise,spotify:track:17mWGN90p4BJzxu8AFj7fs,0.8,0.4,186.3
One Dance,Drake,01 One Dance.mp3,Sad,Fear,spotify:track:1zi7xx7UVEFkmKfv06H8x0,0.625,0.37,103.967
Daydreaming,Lenny Loops,03 Daydreaming.mp3,Neutral,Fear,spotify:track:1l0M0wjSbL7TuvGKJV0q40,0.209,0.367,172.096
Marys Song,Brian Bohlman,05 Marys Song.mp3,Neutral,N/A,spotify:track:3tlkClLRoGjVJZfH7B0uEV,0.0502,0.0735,180.368
Always in My Heart,Lance Allen,01 Always in My Heart.mp3,Neutral,Fear,spotify:track:6HQGfJ7LFyykTYyhbym3NN,0.189,0.287,75.176
Friends With Benefits (KSI vs MNDM),KSI,01 Friends With Benefits (KSI vs MNDM).mp3,Sad,Surprise,spotify:track:0xz2ohcMWXX6bBeW1X8ynf,0.592,0.83,124.006
death bed (coffee for your head),Powfu,01 death bed (coffee for your head)_1.mp3,Neutral,Fear,spotify:track:7eJMfftS33KTjuF7lTsMCx,0.431,0.348,144.026
Just Wanna Be With You,High School Musical Cast,06 Just Wanna Be With You.mp3,Happy,Sad,spotify:track:3SMxd9vNy41n9Xk4UFw36S,0.723,0.377,102.003
Sunday Best,Surfaces,07 Sunday Best.mp3,Sad,Happy,spotify:track:1Cv1YLb4q0RzL6pybtaMLo,0.525,0.694,112.022
Same Mistakes,Hannah Georgas,07 Same Mistakes.mp3,Neutral,Sad,spotify:track:5vSlFuFHqdoyHiXkf5kveI,0.278,0.426,104.985
Faint,Linkin Park,07 Faint.mp3,Anger,Sad,spotify:track:4Yf5bqU3NK4kNOypcrLYwU,0.978,0.594,135.095
End Of Me,Ashes Remain,07 End Of Me.mp3,Anger,Sad,spotify:track:5Iuqf7d8G5SAvuKY7MKHbd,0.823,0.572,129.971
Build Me Up Buttercup - Mono,The Foundations,07 Build Me Up Buttercup - Mono.mp3,Sad,N/A,spotify:track:6sPOmDulFtLzfX25zICNrC,0.513,0.855,133.609
YEAH RIGHT,Joji,06 YEAH RIGHT.mp3,Sad,Fear,spotify:track:1VGzxJnVQND7Cg5H5wGj14,0.588,0.204,169.033
Half A Man,Dean Lewis,12 Half A Man.mp3,Neutral,Sad,spotify:track:1ugQtcwmKOXvKAYzhjncmv,0.204,0.343,77.765
what are you so afraid of,XXXTENTACION,10 what are you so afraid of.mp3,Neutral,Happy,spotify:track:57nOpVSc3j9o03Cr928ZM4,0.312,0.347,103.369
Paradise,Bazzi,10 Paradise.mp3,Happy,Fear,spotify:track:0Rx0DJI556Ix5gBny6EWmn,0.644,0.591,122.061
bury a friend,Billie Eilish,10 bury a friend.mp3,Neutral,Sad,spotify:track:4SSnFejRGlZikf02HLewEF,0.389,0.196,120.046
2002,Anne-Marie,10 2002.mp3,Happy,Surprise,spotify:track:2BgEsaKNfHUdlh97KmvFyo,0.683,0.603,96.133
Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,09 Monster (Shawn Mendes _ Justin Bieber).mp3,Neutral,Fear,spotify:track:2Z8yfpFX0ZMavHkcIeHiO1,0.383,0.549,145.765
100 Degrees,Rich Brian,09 100 Degrees.mp3,Happy,Happy,spotify:track:2ZDpSQfBdgkooeXw6oj3Uz,0.648,0.657,80.979
The Only,Static-X,07 The Only.mp3,Anger,Surprise,spotify:track:35ZmCVnfYRdK1iLGCxNhMa,0.979,0.292,104.84
Godspeed,Frank Ocean,16 Godspeed.mp3,Neutral,Surprise,spotify:track:34xTFwjPQ1dC6uJmleno7x,0.0952,0.0773,109.698
Every Second,aimless,15 Every Second.mp3,Neutral,Surprise,spotify:track:4RgPUr1n6bICbszd0cNfa2,0.164,0.164,74.026
